index,eigenvalue
0,127.270325
1,78.622444
2,61.488808
3,58.220226
4,42.144665
5,40.839405
6,34.660686
7,26.289497
8,25.282059
9,21.296371
10,18.352407
11,0.09299113
12,1.2452505e-05
13,8.937903e-06
14,8.269395e-06
15,7.776246e-06
16,7.6152282e-06
17,7.304302e-06
18,6.8960308e-06
19,6.5383438e-06
20,6.2331446e-06
21,5.6240833e-06
22,5.459364e-06
23,5.304078e-06
24,5.0253234e-06
25,4.956315e-06
26,4.8559455e-06
27,4.77666e-06
28,4.715e-06
29,4.661675e-06
30,4.6424857e-06
31,4.5968263e-06
32,4.578659e-06
33,4.448057e-06
34,4.4180724e-06
35,4.3507684e-06
36,4.3095e-06
37,4.2782913e-06
38,4.210776e-06
39,4.1224084e-06
40,4.0560185e-06
41,4.052958e-06
42,3.954843e-06
43,3.952694e-06
44,3.922883e-06
45,3.908404e-06
46,3.8176877e-06
47,3.7936495e-06
48,3.7601599e-06
49,3.7574312e-06
50,3.7046223e-06
51,3.6771821e-06
52,3.6548324e-06
53,3.6191911e-06
54,3.6166268e-06
55,3.5792718e-06
56,3.5786722e-06
57,3.5781e-06
58,3.5767189e-06
59,3.5673095e-06
60,3.5307478e-06
61,3.5215319e-06
62,3.518803e-06
63,3.494333e-06
64,3.440179e-06
65,3.420059e-06
66,3.3717113e-06
67,3.3588024e-06
68,3.3536064e-06
69,3.3042772e-06
70,3.303964e-06
71,3.2989878e-06
72,3.2986661e-06
73,3.285025e-06
74,3.2849007e-06
75,3.2732464e-06
76,3.2526716e-06
77,3.2383116e-06
78,3.2263738e-06
79,3.1829334e-06
80,3.169404e-06
81,3.1679633e-06
82,3.1219029e-06
83,3.117736e-06
84,3.1024185e-06
85,3.0990652e-06
86,3.0943008e-06
87,3.0901126e-06
88,3.0825465e-06
89,3.055023e-06
90,3.0402082e-06
91,3.0255599e-06
92,3.0211147e-06
93,2.9983423e-06
94,2.985355e-06
95,2.9722248e-06
96,2.9639868e-06
97,2.950063e-06
98,2.9366522e-06
99,2.9244425e-06
100,2.919122e-06
101,2.9187756e-06
102,2.8991683e-06
103,2.8949669e-06
104,2.8762206e-06
105,2.8760528e-06
106,2.864144e-06
107,2.8500756e-06
108,2.837351e-06
109,2.8324544e-06
110,2.828455e-06
111,2.820387e-06
112,2.8187271e-06
113,2.8172417e-06
114,2.805031e-06
115,2.802843e-06
116,2.8011386e-06
117,2.7998487e-06
118,2.7897297e-06
119,2.7420613e-06
120,2.7347405e-06
121,2.7208162e-06
122,2.7061756e-06
123,2.6984383e-06
124,2.690778e-06
125,2.6708287e-06
126,2.6688454e-06
127,2.6592497e-06
128,2.651892e-06
129,2.6480218e-06
130,2.637619e-06
131,2.6368048e-06
132,2.627685e-06
133,2.616881e-06
134,2.600631e-06
135,2.59651e-06
136,2.5942809e-06
137,2.5888035e-06
138,2.5821732e-06
139,2.5700554e-06
140,2.5538727e-06
141,2.5502204e-06
142,2.5477077e-06
143,2.5044524e-06
144,2.5013699e-06
145,2.4959995e-06
146,2.4955077e-06
147,2.4833164e-06
148,2.4784833e-06
149,2.4579226e-06
150,2.457248e-06
151,2.4300073e-06
152,2.4243334e-06
153,2.4183432e-06
154,2.414269e-06
155,2.414005e-06
156,2.4116164e-06
157,2.4081278e-06
158,2.4075398e-06
159,2.3952946e-06
160,2.380555e-06
161,2.3757357e-06
162,2.3740552e-06
163,2.3701068e-06
164,2.3613914e-06
165,2.3504997e-06
166,2.3504022e-06
167,2.3485295e-06
168,2.3455555e-06
169,2.3417435e-06
170,2.3407326e-06
171,2.3359266e-06
172,2.334525e-06
173,2.3302082e-06
174,2.301717e-06
175,2.2901527e-06
176,2.2873337e-06
177,2.2651436e-06
178,2.2610257e-06
179,2.2556087e-06
180,2.2506247e-06
181,2.2311026e-06
182,2.2288164e-06
183,2.2283527e-06
184,2.2178726e-06
185,2.2138752e-06
186,2.206915e-06
187,2.1987057e-06
188,2.1974574e-06
189,2.1924352e-06
190,2.1865596e-06
191,2.1764968e-06
192,2.1649814e-06
193,2.1605974e-06
194,2.1596059e-06
195,2.1580786e-06
196,2.1490025e-06
197,2.1204974e-06
