index,eigenvalue
0,1429.062
1,635.2249
2,148.40053
3,133.69827
4,108.87351
5,86.674194
6,78.87453
7,65.19785
8,53.32734
9,50.095776
10,37.977886
11,37.500732
12,0.0006708338
13,0.0003943286
14,0.00037962993
15,0.00035331977
16,0.00023423764
17,0.00021392193
18,0.0002063449
19,0.0001903442
20,0.00018437818
21,0.00018115611
22,0.00015752157
23,0.00014690644
24,0.00011967272
25,9.0429094e-05
26,8.416398e-05
27,7.315469e-05
28,7.033201e-05
29,6.7373796e-05
30,6.556903e-05
31,5.9897062e-05
32,3.3542216e-05
33,3.2218406e-05
34,3.1088304e-05
35,2.373277e-05
36,2.29228e-05
37,2.27633e-05
38,2.2558745e-05
39,2.1373544e-05
40,1.7546932e-05
41,1.748593e-05
42,1.747349e-05
43,1.48617655e-05
44,1.47569945e-05
45,1.3428151e-05
46,1.2689927e-05
47,1.240901e-05
48,1.1560107e-05
49,1.1536526e-05
50,1.1339327e-05
51,1.0291694e-05
52,9.4576535e-06
53,9.101026e-06
54,8.827872e-06
55,8.774878e-06
56,8.718552e-06
57,8.285854e-06
58,7.9566325e-06
59,7.824842e-06
60,7.2046278e-06
61,6.9609523e-06
62,6.9565112e-06
63,6.937878e-06
64,6.7914366e-06
65,6.6053917e-06
66,6.494041e-06
67,6.4596816e-06
68,6.458729e-06
69,6.2787544e-06
70,6.246633e-06
71,6.109659e-06
72,5.9491863e-06
73,5.906954e-06
74,5.669375e-06
75,5.6504314e-06
76,5.6269723e-06
77,5.169938e-06
78,5.0909025e-06
79,5.0127537e-06
80,4.982572e-06
81,4.898748e-06
82,4.7715134e-06
83,4.6882788e-06
84,4.6860514e-06
85,4.479714e-06
86,4.4648077e-06
87,4.435716e-06
88,4.4286185e-06
89,4.398007e-06
90,4.2727834e-06
91,4.228239e-06
92,4.1591425e-06
93,4.12661e-06
94,4.108768e-06
95,4.08203e-06
96,4.0245336e-06
97,3.933877e-06
98,3.8782878e-06
99,3.870273e-06
100,3.812094e-06
101,3.806108e-06
102,3.7893217e-06
103,3.7834593e-06
104,3.7263787e-06
105,3.7157367e-06
106,3.6952063e-06
107,3.6800757e-06
108,3.6740716e-06
109,3.6373779e-06
110,3.6055922e-06
111,3.6026963e-06
112,3.5758687e-06
113,3.570897e-06
114,3.5133592e-06
115,3.5128755e-06
116,3.4808852e-06
117,3.462754e-06
118,3.4604136e-06
119,3.4505752e-06
120,3.4482332e-06
121,3.3873953e-06
122,3.3349447e-06
123,3.3290758e-06
124,3.327547e-06
125,3.2642083e-06
126,3.259539e-06
127,3.2216362e-06
128,3.1906197e-06
129,3.1874224e-06
130,3.110374e-06
131,3.1084205e-06
132,3.103971e-06
133,3.093112e-06
134,3.0753715e-06
135,3.0746314e-06
136,3.0546687e-06
137,3.0418917e-06
138,3.040322e-06
139,3.0352485e-06
140,2.9999508e-06
141,2.9582434e-06
142,2.9559396e-06
143,2.9208184e-06
144,2.9069242e-06
145,2.8958666e-06
146,2.8872296e-06
147,2.8834688e-06
148,2.87346e-06
149,2.8702534e-06
150,2.852762e-06
151,2.84541e-06
152,2.843549e-06
153,2.835009e-06
154,2.7868846e-06
155,2.7716646e-06
156,2.7509948e-06
157,2.7488334e-06
158,2.7323936e-06
159,2.7286621e-06
160,2.7217136e-06
161,2.6938958e-06
162,2.6930084e-06
163,2.6908813e-06
164,2.6779358e-06
165,2.6580542e-06
166,2.6250314e-06
167,2.6193711e-06
168,2.6138325e-06
169,2.5918528e-06
170,2.5857526e-06
171,2.5790998e-06
172,2.5610143e-06
173,2.557476e-06
174,2.5358436e-06
175,2.5259744e-06
176,2.5227844e-06
177,2.508139e-06
178,2.5030997e-06
179,2.4762332e-06
180,2.4582594e-06
181,2.436068e-06
182,2.4320789e-06
183,2.387613e-06
184,2.3872233e-06
185,2.3860875e-06
186,2.3776659e-06
187,2.3771254e-06
188,2.3769267e-06
189,2.367203e-06
190,2.358011e-06
191,2.3519515e-06
192,2.3141424e-06
193,2.3032685e-06
194,2.2992044e-06
195,2.2841086e-06
196,2.282172e-06
197,2.2775598e-06
198,2.2729182e-06
199,2.2696427e-06
200,2.2655913e-06
201,2.2413271e-06
202,2.2409417e-06
203,2.2308504e-06
204,2.2290144e-06
205,2.2133331e-06
206,2.2096058e-06
207,2.2045924e-06
208,2.1649512e-06
209,2.1552842e-06
210,2.1492147e-06
211,2.1478418e-06
212,2.1443882e-06
213,2.122134e-06
214,2.116395e-06
215,2.1102019e-06
216,2.1047174e-06
217,2.087824e-06
218,2.0700522e-06
219,2.0621542e-06
220,2.0613768e-06
221,2.0425905e-06
222,2.0086704e-06
223,2.006921e-06
224,2.0024204e-06
225,1.9994845e-06
226,1.999217e-06
227,1.998109e-06
228,1.991655e-06
229,1.9876788e-06
230,1.9820982e-06
231,1.9683123e-06
232,1.9678735e-06
233,1.9630436e-06
234,1.945614e-06
235,1.9253584e-06
236,1.910799e-06
