index,eigenvalue
0,0.44893062
1,0.09193264
2,0.056881133
3,0.0481566
4,0.029949332
5,0.027136872
6,0.021253858
7,0.017802676
8,0.012637249
9,0.010780349
10,0.00919092
11,0.0042619063
12,3.444811e-08
13,3.4323055e-08
14,3.3598237e-08
15,3.1507675e-08
16,3.0042035e-08
17,2.9664179e-08
18,2.7562496e-08
19,2.6700949e-08
20,2.6503683e-08
21,2.6167127e-08
22,2.488244e-08
23,2.2139758e-08
24,2.0948205e-08
25,1.8629272e-08
26,1.7682792e-08
27,1.6659289e-08
28,1.6535793e-08
29,1.635798e-08
30,1.6234539e-08
31,1.5998438e-08
32,1.5048974e-08
33,1.4693524e-08
34,1.3589813e-08
35,1.3428225e-08
36,1.3321584e-08
37,1.3198925e-08
38,1.2532643e-08
39,1.2046811e-08
40,1.182436e-08
41,1.1752601e-08
42,1.1714766e-08
43,1.1270653e-08
44,1.1225372e-08
45,1.0927711e-08
46,1.0858831e-08
47,1.0682055e-08
48,1.0619147e-08
49,1.0245892e-08
50,1.0130153e-08
51,1.0103016e-08
52,1.0072683e-08
53,9.96594e-09
54,9.91588e-09
55,9.915126e-09
56,9.76227e-09
57,9.717906e-09
58,9.602179e-09
59,9.59176e-09
60,9.556501e-09
61,9.4096695e-09
62,9.286384e-09
63,9.221761e-09
64,9.211136e-09
65,9.127836e-09
66,9.052501e-09
67,9.010345e-09
68,9.001588e-09
69,8.957811e-09
70,8.884255e-09
71,8.567948e-09
72,8.2862375e-09
73,8.277167e-09
74,8.272068e-09
75,8.1836244e-09
76,8.080168e-09
77,8.034954e-09
78,7.990438e-09
79,7.734868e-09
80,7.663969e-09
81,7.65421e-09
82,7.574374e-09
83,7.527648e-09
84,7.492123e-09
85,7.4895254e-09
86,7.476208e-09
87,7.3879485e-09
88,7.276178e-09
89,7.260437e-09
90,7.2077575e-09
91,7.080342e-09
92,7.0560127e-09
93,7.0393744e-09
94,6.9924795e-09
95,6.9362036e-09
96,6.917358e-09
97,6.9004513e-09
98,6.895801e-09
99,6.885606e-09
100,6.878787e-09
101,6.8628814e-09
102,6.8309127e-09
103,6.828268e-09
104,6.812666e-09
105,6.6583072e-09
106,6.588561e-09
107,6.5786447e-09
108,6.5338424e-09
109,6.5263603e-09
110,6.4510295e-09
111,6.3213927e-09
112,6.3153967e-09
113,6.214291e-09
114,6.201969e-09
115,6.201075e-09
116,6.1977383e-09
117,6.185152e-09
118,6.1450836e-09
119,6.135907e-09
120,5.9931042e-09
121,5.946373e-09
122,5.9415353e-09
123,5.939782e-09
124,5.8687477e-09
125,5.7735203e-09
126,5.7660143e-09
127,5.712615e-09
