index,eigenvalue
0,44.110836
1,27.045118
2,8.343552
3,7.609887
4,6.1324162
5,5.214693
6,4.9806857
7,4.0943313
8,3.9323692
9,3.4453194
10,3.051551
11,2.4175484
12,3.936388e-06
13,3.6302336e-06
14,3.5387293e-06
15,3.333441e-06
16,3.2656847e-06
17,3.2341925e-06
18,2.9407176e-06
19,2.836079e-06
20,2.7289184e-06
21,2.4152923e-06
22,2.3153775e-06
23,1.9501254e-06
24,1.9163638e-06
25,1.883776e-06
26,1.8518358e-06
27,1.8060009e-06
28,1.4278041e-06
29,1.3001703e-06
30,1.2936588e-06
31,1.2106437e-06
32,1.1898073e-06
33,1.1761587e-06
34,1.1358742e-06
35,1.1178879e-06
36,1.0978944e-06
37,1.0487249e-06
38,9.680248e-07
39,9.571224e-07
40,9.415745e-07
41,9.280548e-07
42,8.8047426e-07
43,8.030119e-07
44,7.6765735e-07
45,7.3901003e-07
46,7.156304e-07
47,7.1450864e-07
48,6.916887e-07
49,6.8357144e-07
50,6.538479e-07
51,6.522986e-07
52,6.4781193e-07
53,6.231422e-07
54,5.9819047e-07
55,5.929361e-07
56,5.867442e-07
57,5.681368e-07
58,5.459048e-07
59,5.33864e-07
60,5.332791e-07
61,5.299379e-07
62,5.29648e-07
63,5.163588e-07
64,4.988035e-07
65,4.7459784e-07
66,4.6537795e-07
67,4.5749297e-07
68,4.5260498e-07
69,4.4088756e-07
70,4.1767888e-07
71,4.1624702e-07
72,3.977727e-07
73,3.9574292e-07
74,3.9326147e-07
75,3.7164546e-07
76,3.640538e-07
77,3.6330653e-07
78,3.6312593e-07
79,3.5906345e-07
80,3.588271e-07
81,3.5335594e-07
82,3.5045474e-07
83,3.472545e-07
84,3.416219e-07
85,3.4024552e-07
86,3.2673103e-07
87,3.2431944e-07
88,3.2209738e-07
89,3.1604355e-07
90,3.089558e-07
91,3.0694272e-07
92,3.0010665e-07
93,2.9416432e-07
94,2.88647e-07
95,2.8654966e-07
96,2.852205e-07
97,2.8142577e-07
98,2.7773524e-07
99,2.7630466e-07
100,2.7006763e-07
101,2.6764945e-07
102,2.639698e-07
103,2.636272e-07
104,2.6329903e-07
105,2.6244686e-07
106,2.6236694e-07
107,2.6183062e-07
108,2.6074366e-07
109,2.5955922e-07
110,2.579413e-07
111,2.53115e-07
112,2.510168e-07
113,2.4920394e-07
114,2.488439e-07
115,2.4616966e-07
116,2.4456418e-07
117,2.4434084e-07
118,2.3968897e-07
119,2.3421855e-07
120,2.3304297e-07
121,2.3220622e-07
122,2.298832e-07
123,2.2854661e-07
124,2.2772139e-07
125,2.2590126e-07
126,2.2469207e-07
127,2.2386915e-07
128,2.2331082e-07
129,2.2061708e-07
130,2.2014662e-07
131,2.1980277e-07
132,2.1882886e-07
133,2.1438504e-07
134,2.1203418e-07
135,2.1117656e-07
136,2.1073672e-07
137,2.1021876e-07
138,2.100745e-07
139,2.0973386e-07
140,2.0817191e-07
141,2.0708795e-07
142,2.0630884e-07
143,2.0481988e-07
144,2.0400698e-07
145,2.009656e-07
146,2.008675e-07
147,2.0019789e-07
148,2.0015658e-07
149,1.9930476e-07
150,1.9840911e-07
151,1.972093e-07
152,1.9709356e-07
153,1.9646616e-07
154,1.9584762e-07
155,1.9491917e-07
156,1.9439194e-07
157,1.9407524e-07
158,1.9323389e-07
159,1.929939e-07
160,1.9226606e-07
161,1.88833e-07
162,1.8831935e-07
163,1.8712797e-07
164,1.8665591e-07
165,1.8590491e-07
166,1.8474574e-07
167,1.8267684e-07
168,1.7974025e-07
169,1.7826434e-07
170,1.7822137e-07
171,1.7782857e-07
172,1.7748735e-07
173,1.7730018e-07
174,1.770264e-07
175,1.7679197e-07
176,1.7535095e-07
177,1.7469566e-07
178,1.744119e-07
179,1.7434915e-07
180,1.7425295e-07
181,1.7380134e-07
182,1.734416e-07
183,1.7178367e-07
184,1.71164e-07
185,1.7103062e-07
186,1.7029456e-07
187,1.6851226e-07
188,1.677641e-07
189,1.6744698e-07
190,1.6707305e-07
191,1.6673188e-07
192,1.6571379e-07
193,1.6534592e-07
194,1.646641e-07
195,1.6241776e-07
196,1.6232246e-07
197,1.6201207e-07
198,1.6104511e-07
199,1.6093985e-07
200,1.5792553e-07
201,1.5766497e-07
202,1.572411e-07
203,1.570606e-07
204,1.5690796e-07
205,1.567022e-07
206,1.5494847e-07
207,1.5386382e-07
208,1.5334282e-07
209,1.5297816e-07
210,1.5277666e-07
211,1.5271341e-07
212,1.5256006e-07
213,1.5244986e-07
214,1.5171034e-07
215,1.5146985e-07
216,1.51272e-07
217,1.5114047e-07
218,1.5006717e-07
219,1.4930781e-07
220,1.4630987e-07
221,1.4615568e-07
222,1.4585606e-07
223,1.4567051e-07
224,1.4545508e-07
225,1.444958e-07
226,1.4413956e-07
227,1.4358766e-07
228,1.4258515e-07
229,1.4135375e-07
230,1.4056775e-07
231,1.4000184e-07
232,1.3982381e-07
233,1.3912367e-07
234,1.389574e-07
235,1.3795648e-07
236,1.3681347e-07
237,1.3613611e-07
238,1.3589737e-07
239,1.3514824e-07
240,1.3484875e-07
241,1.3439583e-07
242,1.3422476e-07
243,1.3373669e-07
244,1.3288079e-07
245,1.3242789e-07
246,1.323462e-07
247,1.3115854e-07
248,1.30929e-07
249,1.3058892e-07
250,1.296452e-07
251,1.2948004e-07
252,1.2945581e-07
253,1.2894675e-07
254,1.2871706e-07
255,1.2813331e-07
256,1.2758309e-07
257,1.2696442e-07
258,1.2682196e-07
259,1.2662304e-07
260,1.2656672e-07
261,1.2605238e-07
262,1.2590145e-07
263,1.2536651e-07
264,1.2534036e-07
265,1.2501935e-07
266,1.2456637e-07
267,1.2445082e-07
268,1.2282526e-07
269,1.2277718e-07
270,1.2276277e-07
271,1.2106442e-07
272,1.2075297e-07
273,1.2046847e-07
274,1.1967428e-07
275,1.1928432e-07
276,1.18973944e-07
277,1.1873911e-07
278,1.1865633e-07
279,1.1865125e-07
280,1.1849503e-07
281,1.1790614e-07
282,1.1680035e-07
283,1.1581795e-07
284,1.1571579e-07
285,1.1442249e-07
286,1.1430387e-07
287,1.13392225e-07
288,1.13284685e-07
289,1.13204834e-07
290,1.121872e-07
291,1.11939265e-07
292,1.11936814e-07
293,1.112957e-07
294,1.11029586e-07
295,1.1004586e-07
296,1.1001468e-07
297,1.09653776e-07
298,1.08360624e-07
299,1.07926056e-07
300,1.07750786e-07
301,1.07458746e-07
302,1.0713891e-07
303,1.0628959e-07
304,1.0550544e-07
305,1.0533034e-07
306,1.0510591e-07
307,1.0489289e-07
308,1.0480788e-07
309,1.0469153e-07
310,1.04659854e-07
311,1.0463332e-07
312,1.03410784e-07
313,1.0323378e-07
314,1.02846634e-07
315,1.028234e-07
316,1.02601916e-07
317,1.0259928e-07
318,1.0175113e-07
319,1.0152131e-07
320,1.01507204e-07
321,1.01171885e-07
322,1.0117029e-07
323,1.0101049e-07
324,1.0059194e-07
325,1.00587535e-07
326,1.00372645e-07
327,9.9314455e-08
328,9.901035e-08
329,9.816789e-08
330,9.788721e-08
331,9.734789e-08
332,9.655875e-08
333,9.6410545e-08
334,9.627496e-08
335,9.594053e-08
336,9.506467e-08
337,9.478002e-08
338,9.4398146e-08
339,9.385848e-08
340,9.3498436e-08
341,9.330137e-08
342,9.307633e-08
343,9.185772e-08
344,9.148729e-08
345,9.146286e-08
346,9.128935e-08
347,9.1280086e-08
348,9.063783e-08
