index,eigenvalue
0,22.10116
1,1.8879001
2,1.0516791
3,0.5642587
4,0.23787005
5,0.20741078
6,0.14372514
7,0.104430914
8,0.05399092
9,0.027244529
10,0.0224655
11,0.0039136624
12,3.5760393e-06
13,3.1871994e-06
14,3.141322e-06
15,2.5661716e-06
16,2.5291356e-06
17,1.9912347e-06
18,1.8273546e-06
19,1.702617e-06
20,1.5899034e-06
21,1.5170548e-06
22,1.4988141e-06
23,1.2790056e-06
24,1.2775927e-06
25,1.2283867e-06
26,1.2112123e-06
27,1.1533209e-06
28,9.0528584e-07
29,8.948444e-07
30,7.341756e-07
31,7.1315446e-07
32,5.5834295e-07
33,4.803909e-07
34,4.5863484e-07
35,3.71426e-07
36,3.427339e-07
37,3.1604617e-07
38,3.120253e-07
39,2.5953022e-07
40,2.5088104e-07
41,2.2629754e-07
42,2.2625662e-07
43,2.2333997e-07
44,2.0379636e-07
45,1.9581398e-07
46,1.84604e-07
47,1.7312784e-07
48,1.7137012e-07
49,1.6382296e-07
50,1.583847e-07
51,1.5634076e-07
52,1.5213446e-07
53,1.3643002e-07
54,1.2622824e-07
55,1.2588602e-07
56,1.246612e-07
57,1.1732551e-07
58,1.1062754e-07
59,1.04332706e-07
60,1.04172614e-07
61,1.0329586e-07
62,8.537514e-08
63,8.4833445e-08
64,8.449944e-08
65,8.1401105e-08
66,7.905945e-08
67,7.5639846e-08
68,7.116629e-08
69,6.9973886e-08
70,6.6206425e-08
71,6.515311e-08
72,6.3568656e-08
73,6.1254326e-08
74,5.9690244e-08
75,5.9224487e-08
76,5.845498e-08
77,5.7723856e-08
78,5.6149176e-08
79,5.5106828e-08
80,5.4811824e-08
81,5.3592082e-08
82,5.0644257e-08
83,5.037765e-08
84,5.0327646e-08
85,4.8690186e-08
86,4.810267e-08
87,4.5319528e-08
88,4.4702112e-08
89,4.428202e-08
90,4.426418e-08
91,4.369821e-08
92,4.3387715e-08
93,4.203785e-08
94,4.0736413e-08
95,3.943993e-08
96,3.908455e-08
97,3.887205e-08
98,3.8688906e-08
99,3.867215e-08
100,3.835749e-08
101,3.8061224e-08
102,3.678564e-08
103,3.6368657e-08
104,3.6270333e-08
105,3.5879175e-08
106,3.5530388e-08
107,3.5330093e-08
108,3.4950006e-08
109,3.378382e-08
110,3.372208e-08
111,3.330568e-08
112,3.2774228e-08
113,3.256467e-08
114,3.2491226e-08
115,3.2484465e-08
116,3.221206e-08
117,3.2169712e-08
118,3.1929382e-08
119,3.1653613e-08
120,3.158518e-08
121,3.1491844e-08
122,3.148693e-08
123,3.1384104e-08
124,3.129179e-08
125,3.123326e-08
126,3.1023717e-08
127,3.0906012e-08
128,3.069221e-08
129,3.0688554e-08
130,3.0684266e-08
131,3.052736e-08
132,3.0488536e-08
133,2.9265552e-08
134,2.8942509e-08
135,2.8741656e-08
136,2.8586603e-08
137,2.8455606e-08
138,2.8230732e-08
139,2.8051145e-08
140,2.7384852e-08
141,2.732685e-08
142,2.7284427e-08
143,2.707114e-08
144,2.688846e-08
145,2.6629895e-08
146,2.6508564e-08
147,2.6462383e-08
148,2.6340198e-08
149,2.630636e-08
150,2.6275957e-08
151,2.6109344e-08
152,2.6048543e-08
153,2.5811156e-08
154,2.5781864e-08
155,2.5760363e-08
156,2.548817e-08
157,2.5349333e-08
158,2.5182777e-08
159,2.5059345e-08
160,2.493965e-08
161,2.4804557e-08
162,2.480264e-08
163,2.4796645e-08
164,2.4763358e-08
165,2.4659368e-08
166,2.465231e-08
167,2.4651392e-08
168,2.4542986e-08
169,2.4510465e-08
170,2.4180629e-08
171,2.4161189e-08
172,2.3713694e-08
173,2.3614536e-08
174,2.3591074e-08
175,2.3433566e-08
176,2.3403251e-08
177,2.3318472e-08
178,2.331058e-08
179,2.3301117e-08
180,2.3246146e-08
181,2.2753866e-08
182,2.2620167e-08
183,2.2537776e-08
184,2.2501066e-08
185,2.2445194e-08
186,2.236045e-08
187,2.22216e-08
188,2.2026102e-08
189,2.1917813e-08
190,2.1887304e-08
191,2.183146e-08
192,2.1672253e-08
193,2.1560453e-08
194,2.1372015e-08
195,2.1266475e-08
196,2.1078879e-08
197,2.1074015e-08
198,2.1068113e-08
199,2.1067299e-08
200,2.1022476e-08
201,2.0966423e-08
202,2.0572728e-08
203,2.0466238e-08
204,2.0456728e-08
205,2.0387477e-08
206,2.0181131e-08
207,1.9964006e-08
208,1.990922e-08
209,1.9781991e-08
210,1.9730424e-08
211,1.971215e-08
212,1.9707057e-08
213,1.9621112e-08
214,1.962073e-08
215,1.9593813e-08
216,1.9483517e-08
217,1.9278952e-08
218,1.9237646e-08
219,1.9222623e-08
220,1.9010965e-08
221,1.8956094e-08
222,1.8910207e-08
223,1.8863691e-08
224,1.8843563e-08
225,1.876727e-08
226,1.8754273e-08
227,1.8701396e-08
228,1.8632642e-08
229,1.8570516e-08
230,1.8533425e-08
231,1.8433985e-08
232,1.8126864e-08
233,1.8076877e-08
234,1.8014557e-08
235,1.7844714e-08
236,1.783818e-08
237,1.7805963e-08
238,1.7804522e-08
239,1.7762886e-08
240,1.7599742e-08
241,1.7549084e-08
242,1.7402458e-08
243,1.7389462e-08
244,1.7369674e-08
245,1.728114e-08
246,1.7214347e-08
247,1.7185142e-08
248,1.7166185e-08
249,1.715805e-08
250,1.7104323e-08
251,1.7026682e-08
252,1.6929755e-08
253,1.6904275e-08
254,1.6824853e-08
255,1.675316e-08
256,1.668549e-08
257,1.6678786e-08
258,1.6658023e-08
259,1.6606535e-08
260,1.6571569e-08
261,1.6450988e-08
262,1.6414878e-08
263,1.6403922e-08
264,1.5910086e-08
265,1.5852791e-08
266,1.584033e-08
267,1.5724986e-08
268,1.5645226e-08
269,1.5499806e-08
270,1.5412615e-08
271,1.5403044e-08
272,1.5383732e-08
273,1.5377132e-08
274,1.5325144e-08
275,1.5238264e-08
276,1.5189919e-08
277,1.5152866e-08
278,1.5138575e-08
279,1.512567e-08
280,1.508973e-08
281,1.5086284e-08
282,1.4973756e-08
283,1.4952626e-08
284,1.4887972e-08
285,1.47635495e-08
286,1.4761003e-08
287,1.47498245e-08
288,1.4736183e-08
289,1.4729919e-08
290,1.470544e-08
291,1.4631551e-08
292,1.46190455e-08
293,1.4566307e-08
294,1.4565382e-08
295,1.45574965e-08
296,1.4533399e-08
297,1.4511086e-08
298,1.44584815e-08
299,1.4428519e-08
300,1.4385113e-08
301,1.4292343e-08
302,1.4259819e-08
303,1.4200602e-08
304,1.4139552e-08
305,1.4134934e-08
306,1.4066776e-08
307,1.4029323e-08
308,1.400507e-08
309,1.3934989e-08
310,1.3918822e-08
311,1.3847368e-08
312,1.38003875e-08
313,1.36258995e-08
314,1.3579106e-08
315,1.3536012e-08
316,1.3443153e-08
317,1.3406234e-08
318,1.3173026e-08
319,1.31464155e-08
320,1.311757e-08
321,1.3067775e-08
322,1.305225e-08
323,1.3019768e-08
324,1.3018011e-08
325,1.298622e-08
326,1.2977719e-08
327,1.2829645e-08
328,1.2802337e-08
329,1.27838575e-08
330,1.2771455e-08
331,1.2641644e-08
332,1.2606283e-08
333,1.2592296e-08
334,1.257637e-08
335,1.2546325e-08
336,1.2485223e-08
337,1.248416e-08
338,1.2481104e-08
339,1.2416557e-08
340,1.2337787e-08
341,1.23154225e-08
342,1.2311507e-08
343,1.2200132e-08
344,1.2085537e-08
345,1.2054601e-08
346,1.1932527e-08
347,1.1873736e-08
348,1.1794584e-08
349,1.1727092e-08
350,1.1707385e-08
351,1.1696401e-08
352,1.1659687e-08
353,1.16298144e-08
354,1.1623159e-08
355,1.1622524e-08
356,1.1618686e-08
357,1.1598674e-08
358,1.1586611e-08
359,1.1586028e-08
360,1.1531134e-08
361,1.1505427e-08
362,1.14837215e-08
363,1.14183685e-08
364,1.131975e-08
365,1.1279841e-08
366,1.12773595e-08
367,1.127209e-08
368,1.124632e-08
369,1.1181372e-08
370,1.11647145e-08
371,1.1163848e-08
372,1.1159009e-08
373,1.112862e-08
374,1.1092601e-08
375,1.1071196e-08
376,1.1008067e-08
377,1.0988788e-08
378,1.0956888e-08
379,1.0952443e-08
380,1.0926025e-08
381,1.0888311e-08
382,1.0879943e-08
383,1.0875531e-08
384,1.0863799e-08
385,1.06752625e-08
386,1.0674385e-08
387,1.06219e-08
388,1.059607e-08
389,1.0591622e-08
390,1.05543005e-08
391,1.0526706e-08
392,1.0436472e-08
393,1.0396711e-08
394,1.0267984e-08
395,1.0182461e-08
396,1.0180061e-08
397,1.0165469e-08
398,1.0149482e-08
399,1.014614e-08
400,1.0140877e-08
401,9.981722e-09
402,9.911786e-09
403,9.893389e-09
404,9.820205e-09
405,9.804507e-09
406,9.788642e-09
407,9.716993e-09
408,9.694681e-09
409,9.619323e-09
410,9.589573e-09
411,9.502908e-09
412,9.490414e-09
413,9.481468e-09
414,9.460894e-09
415,9.459917e-09
416,9.4506944e-09
417,9.449168e-09
418,9.406509e-09
419,9.372343e-09
420,9.370831e-09
421,9.353653e-09
422,9.340744e-09
423,9.336866e-09
424,9.272782e-09
425,9.2575405e-09
426,9.242523e-09
427,9.199418e-09
428,9.187811e-09
429,9.161722e-09
430,9.063151e-09
431,9.0419645e-09
432,8.9950065e-09
433,8.828326e-09
434,8.8123535e-09
435,8.803576e-09
436,8.803259e-09
437,8.7838785e-09
438,8.76642e-09
439,8.735419e-09
440,8.725345e-09
441,8.722477e-09
442,8.692336e-09
443,8.636731e-09
444,8.629074e-09
445,8.548118e-09
446,8.5407805e-09
447,8.475335e-09
448,8.381625e-09
449,8.358562e-09
450,8.343614e-09
451,8.268425e-09
452,8.168063e-09
453,8.151605e-09
454,8.097303e-09
455,8.034044e-09
456,8.033294e-09
457,7.961276e-09
458,7.956405e-09
459,7.9088505e-09
460,7.8949345e-09
461,7.883478e-09
462,7.864773e-09
463,7.84457e-09
464,7.843416e-09
465,7.717959e-09
466,7.700303e-09
467,7.696907e-09
468,7.647804e-09
469,7.637639e-09
470,7.601973e-09
471,7.579424e-09
472,7.5742985e-09
473,7.522292e-09
474,7.506691e-09
475,7.503667e-09
476,7.477416e-09
477,7.4449993e-09
478,7.4114643e-09
479,7.3978086e-09
480,7.3879947e-09
481,7.385678e-09
482,7.34279e-09
483,7.2467e-09
484,7.1843296e-09
485,7.1472024e-09
486,7.1371695e-09
487,7.1226114e-09
488,7.098972e-09
489,7.0930843e-09
490,7.015177e-09
491,6.9997337e-09
492,6.9937216e-09
493,6.932285e-09
494,6.895412e-09
495,6.893008e-09
496,6.8540746e-09
497,6.845036e-09
498,6.827377e-09
499,6.703766e-09
500,6.6618817e-09
501,6.6005827e-09
502,6.591601e-09
503,6.5338766e-09
504,6.5015335e-09
505,6.496556e-09
506,6.487128e-09
507,6.4759904e-09
508,6.380015e-09
509,6.3257914e-09
510,6.323984e-09
511,6.278001e-09
512,6.2517502e-09
513,6.2109184e-09
514,6.1721828e-09
515,6.1653216e-09
516,6.160217e-09
517,6.153322e-09
518,6.120033e-09
519,6.0524386e-09
520,6.028962e-09
521,6.0187513e-09
522,5.964309e-09
523,5.9628933e-09
524,5.9377716e-09
525,5.9335172e-09
526,5.931748e-09
527,5.9250893e-09
528,5.9076806e-09
529,5.9054153e-09
530,5.8580754e-09
531,5.8275993e-09
532,5.8231415e-09
533,5.7935794e-09
534,5.7161724e-09
535,5.7052962e-09
536,5.6568195e-09
537,5.6446816e-09
538,5.6128644e-09
539,5.509526e-09
540,5.490277e-09
541,5.449878e-09
542,5.4013545e-09
543,5.395485e-09
544,5.389418e-09
545,5.3626943e-09
546,5.3478404e-09
547,5.3292166e-09
548,5.324709e-09
549,5.309436e-09
550,5.2307656e-09
551,5.222078e-09
552,5.20977e-09
553,5.2052287e-09
554,5.150945e-09
555,5.1419398e-09
556,5.1086917e-09
557,5.0945164e-09
558,5.082388e-09
559,5.0560747e-09
560,4.971886e-09
561,4.9368682e-09
562,4.93083e-09
563,4.924194e-09
564,4.8841766e-09
565,4.8311577e-09
566,4.812273e-09
567,4.795017e-09
568,4.781504e-09
569,4.7636637e-09
570,4.7581588e-09
571,4.6546025e-09
572,4.653537e-09
573,4.639621e-09
574,4.6130557e-09
575,4.600697e-09
576,4.538372e-09
577,4.4476427e-09
578,4.4000177e-09
579,4.3708113e-09
580,4.296691e-09
581,4.2802863e-09
582,4.2687227e-09
583,4.2488835e-09
584,4.2356074e-09
585,4.234382e-09
586,4.2331614e-09
587,4.217757e-09
588,4.1786006e-09
589,4.1395998e-09
590,4.1324677e-09
591,4.0922954e-09
592,4.0280397e-09
593,3.9796633e-09
594,3.9527706e-09
595,3.9261066e-09
596,3.8952757e-09
597,3.7706176e-09
598,3.7694647e-09
599,3.7474512e-09
600,3.7132355e-09
601,3.6912977e-09
602,3.6708185e-09
603,3.661942e-09
604,3.6565102e-09
605,3.6531342e-09
606,3.637589e-09
607,3.6041836e-09
608,3.598648e-09
609,3.5777659e-09
610,3.526171e-09
611,3.5256487e-09
612,3.5142385e-09
613,3.4378131e-09
614,3.4249068e-09
615,3.3855976e-09
616,3.3619743e-09
617,3.3466205e-09
618,3.2601322e-09
619,3.2271539e-09
620,3.225333e-09
621,3.2107346e-09
622,3.207421e-09
623,3.207053e-09
624,3.2056744e-09
625,3.1396379e-09
626,3.0240774e-09
627,3.0107554e-09
628,2.9628797e-09
629,2.9461007e-09
630,2.9302671e-09
631,2.906943e-09
632,2.9068008e-09
633,2.8998373e-09
634,2.8203448e-09
635,2.7544211e-09
636,2.6950677e-09
637,2.6588531e-09
638,2.625343e-09
639,2.561909e-09
640,2.5100282e-09
641,2.4510973e-09
642,2.4102134e-09
643,2.3486673e-09
644,2.2581312e-09
645,2.2184168e-09
646,2.2162219e-09
647,2.2009945e-09
648,2.1843034e-09
649,2.1794135e-09
650,2.1125202e-09
651,2.0807118e-09
652,2.0561872e-09
653,2.0496e-09
654,2.0495003e-09
655,2.0385582e-09
656,2.0160484e-09
657,1.9347923e-09
658,1.9313644e-09
659,1.9160205e-09
660,1.8794444e-09
661,1.8292198e-09
662,1.7912188e-09
663,1.788021e-09
664,1.7855407e-09
665,1.7540635e-09
666,1.7264288e-09
667,1.569347e-09
668,1.5677745e-09
669,1.5520194e-09
670,1.4490967e-09
671,1.4417477e-09
672,1.1808089e-09
673,1.1756784e-09
674,1.1272638e-09
675,1.1242824e-09
676,1.0676733e-09
677,1.0622961e-09
678,1.0310276e-09
679,9.437632e-10
680,9.209407e-10
681,9.1713764e-10
682,9.14145e-10
683,8.428492e-10
684,8.342027e-10
685,8.2892554e-10
686,8.2878204e-10
687,8.158172e-10
688,7.9067053e-10
689,7.055303e-10
690,6.849603e-10
691,6.4557154e-10
692,6.353761e-10
693,6.337984e-10
694,5.944499e-10
695,5.782925e-10
696,5.7638405e-10
697,5.4303834e-10
698,4.910412e-10
699,4.8635224e-10
700,4.662874e-10
701,4.4414927e-10
702,4.4109247e-10
703,4.2171808e-10
704,4.2145118e-10
705,4.1594633e-10
706,4.045533e-10
707,3.703705e-10
708,3.5156203e-10
709,3.2578942e-10
710,3.0872577e-10
711,2.9001768e-10
712,2.717485e-10
713,2.6449273e-10
714,2.5726318e-10
715,2.5582153e-10
716,2.5162197e-10
717,2.4392924e-10
718,2.3715135e-10
719,2.2830891e-10
720,2.2636448e-10
721,2.2469218e-10
722,2.2438268e-10
723,2.2342939e-10
724,2.0114331e-10
725,1.9195177e-10
726,1.8063077e-10
727,1.7526378e-10
728,1.7442352e-10
729,1.6990849e-10
730,1.6675397e-10
731,1.6395817e-10
732,1.6229891e-10
733,1.6003618e-10
734,1.5646782e-10
735,1.5629761e-10
736,1.5344892e-10
737,1.509845e-10
738,1.4528392e-10
739,1.4177277e-10
740,1.4133347e-10
741,1.3727895e-10
742,1.3318578e-10
743,1.3080478e-10
744,1.3022321e-10
745,1.2468017e-10
746,1.2063785e-10
747,1.2053801e-10
748,1.1742053e-10
749,1.0572949e-10
750,9.236967e-11
751,9.179381e-11
752,8.978419e-11
753,8.97834e-11
754,8.459936e-11
755,8.36086e-11
756,7.79964e-11
757,7.7700915e-11
758,7.284484e-11
759,6.7922626e-11
760,6.779123e-11
761,5.6417086e-11
762,4.435478e-11
763,4.2177747e-11
764,3.7477823e-11
765,3.3232483e-11
766,2.8049205e-11
767,1.7892913e-11
